,titles,descriptions,authors,urls
61,Are We Making Real Progress in Simulated Environments? Measuring the Sim2Real Gap in Embodied Visual Navigation.,"Does progress in simulation translate to progress in robotics? Specifically,if method A outperforms method B in simulation, how likely is the trend to holdin reality on a robot? We examine this question for embodied (PointGoal)navigation, developing engineering tools and a research paradigm for evaluatinga simulator by its sim2real predictivity, revealing surprising findings aboutprior work. First, we develop Habitat-PyRobot Bridge (HaPy), a library forseamless execution of identical code on a simulated agent and a physical robot.Habitat-to-Locobot transfer with HaPy involves just one line change in config,essentially treating reality as just another simulator! Second, we investigatesim2real predictivity of Habitat-Sim for PointGoal navigation. We 3D-scan aphysical lab space to create a virtualized replica, and run parallel tests of 9different models in reality and simulation. We present a new metric calledSim-vs-Real Correlation Coefficient (SRCC) to quantify sim2real predictivity.</p><p>Our analysis reveals several important findings. We find that SRCC forHabitat as used for the CVPR19 challenge is low (0.18 for the success metric),which suggests that performance improvements for this simulator-based challengewould not transfer well to a physical robot. We find that this gap is largelydue to AI agents learning to &apos;cheat&apos; by exploiting simulator imperfections:specifically, the way Habitat allows for &apos;sliding&apos; along walls on collision.Essentially, the virtual robot is capable of cutting corners, leading tounrealistic shortcuts through non-navigable spaces. Naturally, such exploits donot work in the real world where the robot stops on contact with walls. Ourexperiments show that it is possible to optimize simulation parameters toenable robots trained in imperfect simulators to generalize learned skills toreality (e.g. improving $SRCC_{Succ}$ from 0.18 to 0.844)."," Abhishek Kadian, Joanne Truong, Aaron Gokaslan, Alexander Clegg, Erik Wijmans, Stefan Lee, Manolis Savva, Sonia Chernova, Dhruv Batra",http://arxiv.org/abs/1912.06321
62,Queueing Analysis of GPU-Based Inference Servers with Dynamic Batching: A Closed-Form Characterization.,"GPU-accelerated computing is a key technology to realize high-speed inferenceservers using deep neural networks (DNNs). An important characteristic ofGPU-based inference is that the computational efficiency, in terms of theprocessing speed and energy consumption, drastically increases by processingmultiple jobs together in a batch. In this paper, we formulate GPU-basedinference servers as a batch service queueing model with batch-size dependentprocessing times. We first show that the energy efficiency of the servermonotonically increases with the arrival rate of inference jobs, which suggeststhat it is energy-efficient to operate the inference server under a utilizationlevel as high as possible within a latency requirement of inference jobs. Wethen derive a closed-form upper bound for the mean latency, which provides asimple characterization of the latency performance. Through simulation andnumerical experiments, we show that the exact value of the mean latency is wellapproximated by this upper bound.", Yoshiaki Inoue,http://arxiv.org/abs/1912.06322
63,Down to the Last Detail: Virtual Try-on with Detail Carving.,"Virtual try-on under arbitrary poses has attracted lots of research attentiondue to its huge potential applications. However, existing methods can hardlypreserve the details in clothing texture and facial identity (face, hair) whilefitting novel clothes and poses onto a person. In this paper, we propose anovel multi-stage framework to synthesize person images, where rich details insalient regions can be well preserved. Specifically, a multi-stage framework isproposed to decompose the generation into spatial alignment followed by acoarse-to-fine generation. To better preserve the details in salient areas suchas clothing and facial areas, we propose a Tree-Block (tree dilated fusionblock) to harness multi-scale features in the generator networks. Withend-to-end training of multiple stages, the whole framework can be jointlyoptimized for results with significantly better visual fidelity and richerdetails. Extensive experiments on standard datasets demonstrate that ourproposed framework achieves the state-of-the-art performance, especially inpreserving the visual details in clothing texture and facial identity. Ourimplementation will be publicly available soon."," Jiahang Wang, Wei Zhang, Weizhong Liu, Tao Mei",http://arxiv.org/abs/1912.06324
64,Toward Automatic Threat Recognition for Airport X-ray Baggage Screening with Deep Convolutional Object Detection.,"For the safety of the traveling public, the Transportation SecurityAdministration (TSA) operates security checkpoints at airports in the UnitedStates, seeking to keep dangerous items off airplanes. At these checkpoints,the TSA employs a fleet of X-ray scanners, such as the Rapiscan 620DV, soTransportation Security Officers (TSOs) can inspect the contents of carry-onpossessions. However, identifying and locating all potential threats can be achallenging task. As a result, the TSA has taken a recent interest in deeplearning-based automated detection algorithms that can assist TSOs. In acollaboration funded by the TSA, we collected a sizable new dataset of X-rayscans with a diverse set of threats in a wide array of contexts, trainedseveral deep convolutional object detection models, and integrated such modelsinto the Rapiscan 620DV, resulting in functional prototypes capable ofoperating in real time. We show performance of our models on held-outevaluation sets, analyze several design parameters, and demonstrate thepotential of such systems for automated detection of threats that can be foundin airports."," Kevin J Liang, John B. Sigman, Gregory P. Spell, Dan Strellis, William Chang, Felix Liu, Tejas Mehta, Lawrence Carin",http://arxiv.org/abs/1912.06329
65,A Guide to Design Disturbance Observer.,"The goal of this paper is to clarify the robustness and performanceconstraints in the design of control systems based on disturbance observer(DOB). Although the bandwidth constraints of a DOB have long been verywell-known by experiences and observations, they have not been formulated andclearly reported yet. In this regard, the Bode and Poisson integral formulasare utilized in the robustness analysis so that the bandwidth constraints of aDOB are derived analytically. In this paper, it is shown that the bandwidth ofa DOB has upper and lower bounds to obtain good robustness if the plant hasnon-minimum phase zero(s) and pole(s), respectively. Besides that theperformance of a system can be improved by using a higher-order disturbanceobserver (HODOB); however, the robustness may deteriorate, and the bandwidthconstraints become more severe. New analysis and design methods, which providegood robustness and predefined performance criteria, are proposed for the DOBbased robust control systems. The validity of the proposals are verified bysimulation results."," Emre Sariyildiz, Kouhei Ohnishi",http://arxiv.org/abs/1912.06331
66,TopoAct: Exploring the Shape of Activations in Deep Learning.,"Deep neural networks such as GoogLeNet and ResNet have achieved superhumanperformance in tasks like image classification. To understand how such superiorperformance is achieved, we can probe a trained deep neural network by studyingneuron activations, that is, combinations of neuron firings, at any layer ofthe network in response to a particular input. With a large set of inputimages, we aim to obtain a global view of what neurons detect by studying theiractivations. We ask the following questions: What is the shape of the space ofactivations? That is, what is the organizational principle behind neuronactivations, and how are the activations related within a layer and acrosslayers? Applying tools from topological data analysis, we present TopoAct, avisual exploration system used to study topological summaries of activationvectors for a single layer as well as the evolution of such summaries acrossmultiple layers. We present visual exploration scenarios using TopoAct thatprovide valuable insights towards learned representations of an imageclassifier."," Archit Rathore, Nithin Chalapathi, Sourabh Palande, Bei Wang",http://arxiv.org/abs/1912.06332
67,An Adaptive Reaction Force Observer Design.,"In this paper, a new adaptive design method is proposed for reaction forceobserver (RFOB) based robust force control systems. It is a well-known factthat an RFOB has several superiorities over a force sensor such as higher forcecontrol bandwidth, stability improvement, force-sensorless force control, andso on. However, there are insufficient analysis and design methods for an RFOBbased robust force control system; therefore, its stability and performancehighly depend on designers own experiences. To overcome this issue, newstability analysis and novel adaptive design methods are proposed for RFOBbased robust force control systems. In the proposed adaptive design method, thedesign parameters of the robust force control system, i.e., the bandwidths of adisturbance observer (DOB) and an RFOB, the nominal and identified inertias inthe design of a DOB and an RFOB, respectively, and the force control gain, areadjusted automatically by using an adaptive control algorithm which is derivedby estimating the plant parameters and environmental impedance. The proposedadaptive design method provides good stability and performance by consideringthe design constraints of a DOB. The validity of the proposals is verified bysimulation and experimental results."," Emre Sariyildiz, Kouhei Ohnishi",http://arxiv.org/abs/1912.06333
68,Uncertainty Visualization of 2D Morse Complex Ensembles Using Statistical Summary Maps.,"Morse complexes are gradient-based topological descriptors with closeconnections to Morse theory. They are widely applicable in scientificvisualization as they serve as important abstractions for gaining insights intothe topology of scalar fields. Noise inherent to scalar field data due toacquisitions and processing, however, limits our understanding of the Morsecomplexes as structural abstractions. We, therefore, explore uncertaintyvisualization of an ensemble of 2D Morse complexes that arise from scalarfields coupled with data uncertainty. We propose statistical summary maps asnew entities for capturing structural variations and visualizing positionaluncertainties of Morse complexes in ensembles. Specifically, we introduce twotypes of statistical summary maps -- the Probabilistic Map and the Survival Map-- to characterize the uncertain behaviors of local extrema and local gradientflows, respectively. We demonstrate the utility of our proposed approach usingsynthetic and real-world datasets."," Tushar Athawale, Dan Maljovec, Chris R. Johnson, Valerio Pascucci, Bei Wang",http://arxiv.org/abs/1912.06341
69,MM Algorithms for Distance Covariance based Sufficient Dimension Reduction and Sufficient Variable Selection.,"Sufficient dimension reduction (SDR) using distance covariance (DCOV) wasrecently proposed as an approach to dimension-reduction problems. Compared withother SDR methods, it is model-free without estimating link function and doesnot require any particular distributions on predictors (see Sheng and Yin,2013, 2016). However, the DCOV-based SDR method involves optimizing a nonsmoothand nonconvex objective function over the Stiefel manifold. To tackle thenumerical challenge, we novelly formulate the original objective functionequivalently into a DC (Difference of Convex functions) program and constructan iterative algorithm based on the majorization-minimization (MM) principle.At each step of the MM algorithm, we inexactly solve the quadratic subproblemon the Stiefel manifold by taking one iteration of Riemannian Newton&apos;s method.The algorithm can also be readily extended to sufficient variable selection(SVS) using distance covariance. We establish the convergence property of theproposed algorithm under some regularity conditions. Simulation studies showour algorithm drastically improves the computation efficiency and is robustacross various settings compared with the existing method. Supplementalmaterials for this article are available."," Runxiong Wu, Xin Chen",http://arxiv.org/abs/1912.06342
70,Maintaining Ferment: On Opinion Control Over Social Networks.,"We consider the design of external inputs to achieve a control objective onthe opinions, represented by scalars, in a social network. The opinion dynamicsfollow a variant of the discrete-time Friedkin-Johnsen model. We first considertwo minimum cost optimal control problems over a finite interval (T0, T) : (1)TF where opinions at all nodes should exceed a given level; and (2) GF where ascalar function of the opinion vector should exceed a given level. For bothproblems we first provide a Pontryagin maximum principle (PMP) based controlfunction when the controllable nodes are specified. We then show that boththese problems exhibit the turnpike property where both the control functionand the state vectors stay near their equilibrium for a large fraction of thetime. This property is then used to choose the optimum set of controllablenodes. We then consider a third system, MF, which is a cost-constrained optimalcontrol problem where we maximize the minimum value of a scalar function of theopinion vector over (T0, T). We provide a numerical algorithm to derive thecontrol function for this problem using non-smooth PMP based techniques.Extensive numerical studies illustrate the three models, control techniques andcorresponding outcomes."," Mohak Goyal, Nikhil Karamchandani, Debasish Chatterjee, D. Manjunath",http://arxiv.org/abs/1912.06343
71,A Method for Arbitrary Instance Style Transfer.,"The ability to synthesize style and content of different images to form avisually coherent image holds great promise in various applications such asstylistic painting, design prototyping, image editing, and augmented reality.However, the majority of works in image style transfer have focused ontransferring the style of an image to the entirety of another image, and only avery small number of works have experimented on methods to transfer style to aninstance of another image. Researchers have proposed methods to circumvent thedifficulty of transferring style to an instance in an arbitrary shape. In thispaper, we propose a topologically inspired algorithm called Forward Stretchingto tackle this problem by transforming an instance into a tensorrepresentation, which allows us to transfer style to this instance itselfdirectly. Forward Stretching maps pixels to specific positions and interpolatevalues between pixels to transform an instance to a tensor. This algorithmallows us to introduce a method to transfer arbitrary style to an instance inan arbitrary shape. We showcase the results of our method in this paper."," Zhifeng Yu, Yusheng Wu, Tianyou Wang",http://arxiv.org/abs/1912.06347
72,Learned Video Compression via Joint Spatial-Temporal Correlation Exploration.,"Traditional video compression technologies have been developed over decadesin pursuit of higher coding efficiency. Efficient temporal informationrepresentation plays a key role in video coding. Thus, in this paper, wepropose to exploit the temporal correlation using both first-order optical flowand second-order flow prediction. We suggest an one-stage learning approach toencapsulate flow as quantized features from consecutive frames which is thenentropy coded with adaptive contexts conditioned on joint spatial-temporalpriors to exploit second-order correlations. Joint priors are embedded inautoregressive spatial neighbors, co-located hyper elements and temporalneighbors using ConvLSTM recurrently. We evaluate our approach for thelow-delay scenario with High-Efficiency Video Coding (H.265/HEVC), H.264/AVCand another learned video compression method, following the common testsettings. Our work offers the state-of-the-art performance, with consistentgains across all popular test sequences."," Haojie Liu, Han shen, Lichao Huang, Ming Lu, Tong Chen, Zhan Ma",http://arxiv.org/abs/1912.06348
73,Random Access with Opportunity Detection in Wireless Networks.,"This letter proposes a novel random medium access control (MAC) based on atransmission opportunity prediction, which can be measured in a form of aconditional success probability given transmitter-side interference. Atransmission probability depends on the opportunity prediction, preventingindiscriminate transmissions and reducing excessive interference causingcollisions. Using stochastic geometry, we derive a fixed-point equation toprovide the optimal transmission probability maximizing a proportionally fairthroughput. Its approximated solution is given in closed form. The proposed MACis applicable to full-duplex networks, leading to significant throughputimprovement by allowing more nodes to transmit."," Jinho Choi, Seung-Woo Ko, Koji Yamamoto, Seong-Lyun Kim",http://arxiv.org/abs/1912.06352
74,Elastic registration based on compliance analysis and biomechanical graph matching.,"An automatic elastic registration method suited for vascularized organs isproposed. The vasculature in both the preoperative and intra-operative imagesis represented as a graph. A typical application of this method is the fusionof pre-operative information onto the organ during surgery, to compensate forthe limited details provided by the intra-operative imaging modality (e.g.CBCT) and to cope with changes in the shape of the organ. Due to imagemodalities differences and organ deformation, each graph has a differenttopology and shape. The Adaptive Compliance Graph Matching (ACGM) methodpresented does not require any manual initialization, handles intra-operativenonrigid deformations of up to 65 mm and computes a complete displacement fieldover the organ from only the matched vasculature. ACGM is better than theprevious Biomechanical Graph Matching method 3 (BGM) because it uses anefficient biomechanical vascularized liver model to compute the organ&apos;stransformation and the vessels bifurcations compliance. This allows toefficiently find the best graph matches with a novel compliance-based adaptivesearch. These contributions are evaluated on ten realistic synthetic and tworeal porcine automatically segmented datasets. ACGM obtains better targetregistration error (TRE) than BGM, with an average TRE in the real datasets of4.2 mm compared to 6.5 mm, respectively. It also is up to one order ofmagnitude faster, less dependent on the parameters used and more robust tonoise."," Jaime Garcia Guevara (MIMESIS), Igor Peterlik (IHU Strasbourg), Marie-Odile Berger (MAGRIT), St&#xe9;phane Cotin (MIMESIS)",http://arxiv.org/abs/1912.06353
75,Bonn Activity Maps: Dataset Description.,"The key prerequisite for accessing the huge potential of current machinelearning techniques is the availability of large databases that capture thecomplex relations of interest. Previous datasets are focused on either 3D scenerepresentations with semantic information, tracking of multiple persons andrecognition of their actions, or activity recognition of a single person incaptured 3D environments. We present Bonn Activity Maps, a large-scale datasetfor human tracking, activity recognition and anticipation of multiple persons.Our dataset comprises four different scenes that have been recorded bytime-synchronized cameras each only capturing the scene partially, thereconstructed 3D models with semantic annotations, motion trajectories forindividual people including 3D human poses as well as human activityannotations. We utilize the annotations to generate activity likelihoods on the3D models called activity maps."," Julian Tanke, Oh-Hun Kwon, Patrick Stotko, Radu Alexandru Rosu, Michael Weinmann, Hassan Errami, Sven Behnke, Maren Bennewitz, Reinhard Klein, Andreas Weber, Angela Yao, Juergen Gall",http://arxiv.org/abs/1912.06354
76,On Pre-transformed Polar Codes.,"In this paper, we prove that any pre-transformation with an upper-triangularmatrix (including cyclic redundancy check (CRC), parity-check (PC) andconvolution code (CC) matrix) does not reduce the code minimum distance and anproperly designed pre-transformation can reduce the number of codewords withthe minimum distance. This explains that the pre-transformed polar codes canperform better than the Polar/RM codes."," Bin Li, Huazi Zhang, Jiaqi Gu",http://arxiv.org/abs/1912.06359
77,Construction and Maintenance of Swarm Drones.,"In this paper we study the dynamic version of the covering problem motivatedby the coverage of drones&apos; swarm: Let $S$ be a set of $n$ non-negative weightedpoints in the plane representing users. Also, consider a set $P$ of $m$ disksthat correspond to the covering radius of each drone. We want to place (andmaintain) set $P$ such that the sum of the weights of the points in $S$ coveredby disks from $P$ is maximized. We present a data structure that maintains asmall constant factor approximate solution efficiently, under insertions anddeletions of points to/from $S$ where each update operation can be performed$O(\log n)$ time."," Kiril Danilchenko, Michael Segal",http://arxiv.org/abs/1912.06360
78,RSSI-based Secure Localization in the Presence of Malicious Nodes in Sensor Networks.,"The ability of a sensor node to determine its location in a sensor network isimportant in many applications. The infrastructure for the location-basedservices is an easy target for malicious attacks. We address scenarios wheremalicious node(s) attempt to disrupt, in an uncoordinated or coordinatedmanner, the localization process of a target node. We propose four techniquesfor secure localization: weighted least square (WLS), secure weighted leastsquare (SWLS), and $\ell_1$-norm based techniques LN-1 and LN-1E, in a networkthat includes one or more compromised anchor nodes. WLS and SWLS techniques areshown to offer significant advantage over existing techniques by assigninglarger weights to the anchor nodes that are closer to the target node, and bydetecting the malicious nodes and eliminating their measurements from thelocalization process. In a coordinated attack, the localization problem can beposed as a plane fitting problem where the measurements from non-malicious andmalicious anchor nodes lie on two different planes. LN-1E technique estimatesthese two planes and prevents disruption of the localization process. TheCramer-Rao lower bound (CRLB) for the position estimate is also derived. Theproposed techniques are shown to provide better localization accuracy than theexisting algorithms."," Bodhibrata Mukhopadhyay, Seshan Srirangarajan, Subrat Kar",http://arxiv.org/abs/1912.06362
79,Fast Image Caption Generation with Position Alignment.,"Recent neural network models for image captioning usually employ anencoder-decoder architecture, where the decoder adopts a recursive sequencedecoding way. However, such autoregressive decoding may result in sequentialerror accumulation and slow generation which limit the applications inpractice. Non-autoregressive (NA) decoding has been proposed to cover theseissues but suffers from language quality problem due to the indirect modelingof the target distribution. Towards that end, we propose an improved NAprediction framework to accelerate image captioning. Our decoding part consistsof a position alignment to order the words that describe the content detectedin the given image, and a fine non-autoregressive decoder to generate elegantdescriptions. Furthermore, we introduce an inference strategy that regardsposition information as a latent variable to guide the further sentencegeneration. The Experimental results on public datasets show that our proposedmodel achieves better performance compared to general NA captioning models,while achieves comparable performance as autoregressive image captioning modelswith a significant speedup.", Zheng-cong Fei,http://arxiv.org/abs/1912.06365
80,Provably Efficient Reinforcement Learning with Aggregated States.,"We establish that an optimistic variant of Q-learning applied to afinite-horizon episodic Markov decision process with an aggregated staterepresentation incurs regret $\tilde{\mathcal{O}}(\sqrt{H^5 M K} + \epsilonHK)$, where $H$ is the horizon, $M$ is the number of aggregate states, $K$ isthe number of episodes, and $\epsilon$ is the largest difference between anypair of optimal state-action values associated with a common aggregate state.Notably, this regret bound does not depend on the number of states or actions.To the best of our knowledge, this is the first such result pertaining to areinforcement learning algorithm applied with nontrivial value functionapproximation without any restrictions on the Markov decision process."," Shi Dong, Benjamin Van Roy, Zhengyuan Zhou",http://arxiv.org/abs/1912.06366
81,Toward an Automated Auction Framework for Wireless Federated Learning Services Market.,"In traditional machine learning, the central server first collects the dataowners&apos; private data together and then trains the model. However, people&apos;sconcerns about data privacy protection are dramatically increasing. Theemerging paradigm of federated learning efficiently builds machine learningmodels while allowing the private data to be kept at local devices. The successof federated learning requires sufficient data owners to jointly utilize theirdata, computing and communication resources for model training. In this paper,we propose an auction based market model for incentivizing data owners toparticipate in federated learning. We design two auction mechanisms for thefederated learning platform to maximize the social welfare of the federatedlearning services market. Specifically, we first design an approximatestrategy-proof mechanism which guarantees the truthfulness, individualrationality, and computational efficiency. To improve the social welfare, wedevelop an automated strategy-proof mechanism based on deep reinforcementlearning and graph neural networks. The communication traffic congestion andthe unique characteristics of federated learning are particularly considered inthe proposed model. Extensive experimental results demonstrate that ourproposed auction mechanisms can efficiently maximize the social welfare andprovide effective insights and strategies for the platform to organize thefederated training."," Yutao Jiao, Ping Wang, Dusit Niyato, Bin Lin, Dong In Kim",http://arxiv.org/abs/1912.06370
82,Cascade Cost Volume for High-Resolution Multi-View Stereo and Stereo Matching.,"The deep multi-view stereo (MVS) and stereo matching approaches generallyconstruct 3D cost volumes to regularize and regress the output depth ordisparity. These methods are limited when high-resolution outputs are neededsince the memory and time costs grow cubically as the volume resolutionincreases. In this paper, we propose a both memory and time efficient costvolume formulation that is complementary to existing multi-view stereo andstereo matching approaches based on 3D cost volumes. First, the proposed costvolume is built upon a standard feature pyramid encoding geometry and contextat gradually finer scales. Then, we can narrow the depth (or disparity) rangeof each stage by the depth (or disparity) map from the previous stage. Withgradually higher cost volume resolution and adaptive adjustment of depth (ordisparity) intervals, the output is recovered in a coarser to fine manner.</p><p>We apply the cascade cost volume to the representative MVS-Net, and obtain a23.1% improvement on DTU benchmark (1st place), with 50.6% and 74.2% reductionin GPU memory and run-time. It is also the state-of-the-art learning-basedmethod on Tanks and Temples benchmark. The statistics of accuracy, run-time andGPU memory on other representative stereo CNNs also validate the effectivenessof our proposed method."," Xiaodong Gu, Zhiwen Fan, Siyu Zhu, Zuozhuo Dai, Feitong Tan, Ping Tan",http://arxiv.org/abs/1912.06378
83,A Gap Analysis of Low-Cost Outdoor Air Quality Sensor In-Field Calibration.,"In recent years, interest in monitoring air quality has been growing.Traditional environmental monitoring stations are very expensive, both toacquire and to maintain, therefore their deployment is generally very sparse.This is a problem when trying to generate air quality maps with a fine spatialresolution. Given the general interest in air quality monitoring, low-cost airquality sensors have become an active area of research and development.Low-cost air quality sensors can be deployed at a finer level of granularitythan traditional monitoring stations. Furthermore, they can be portable andmobile. Low-cost air quality sensors, however, present some challenges: theysuffer from cross-sensitivities between different ambient pollutants; they canbe affected by external factors such as traffic, weather changes, and humanbehavior; and their accuracy degrades over time. Some promising machinelearning approaches can help us obtain highly accurate measurements withlow-cost air quality sensors. In this article, we present low-cost sensortechnologies, and we survey and assess machine learning-based calibrationtechniques for their calibration. We conclude by presenting open questions anddirections for future research."," Francesco Concas, Julien Mineraud, Eemil Lagerspetz, Samu Varjonen, Kai Puolam&#xe4;ki, Petteri Nurmi, Sasu Tarkoma",http://arxiv.org/abs/1912.06384
84,Seizure Prediction Using Bidirectional LSTM.,"Approximately, 50 million people in the world are affected by epilepsy. Forpatients, the anti-epileptic drugs are not always useful and these drugs mayhave undesired side effects on a patient&apos;s health. If the seizure is predictedthe patients will have enough time to take preventive measures. The purpose ofthis work is to investigate the application of bidirectional LSTM for seizureprediction. In this paper, we trained EEG data from canines on a doubleBidirectional LSTM layer followed by a fully connected layer. The data wasprovided in the form of a Kaggle competition by American Epilepsy Society. Themain task was to classify the interictal and preictal EEG clips. Using thismodel, we obtained an AUC of 0.84 on the test dataset. Which shows that ourclassifier&apos;s performance is above chance level on unseen data. The comparisonwith the previous work shows that the use of bidirectional LSTM networks canachieve significantly better results than SVM and GRU networks."," Hazrat Ali, Feroz Karim, Junaid Javed Qureshi, Adnan Omer Abuassba, Mohammad Farhad Bulbul",http://arxiv.org/abs/1912.06385
85,A multimesh finite element method for the Navier-Stokes equations based on projection methods.,"The multimesh finite element method is a technique for solving partialdifferential equations on multiple non-matching meshes by enforcing interfaceconditions using Nitsche&apos;s method. Since the non-matching meshes can result inarbitrarily cut cells, additional stabilization terms are needed to obtain astable variational formulation. In this contribution we extend the multimeshfinite element method to the Navier-Stokes equations based on the incrementalpressure correction scheme. For each step in the pressure correction scheme, wederive a multimesh finite element formulation with suitable stabilizationterms. The overall scheme yields expected spatial and temporal convergencerates on the Taylor-Green problem, and demonstrates good agreement for the dragand lift coefficients on the Turek-Schafer benchmark (DFG benchmark 2D-3).Finally, we illustrate the capabilities of the proposed scheme by optimizingthe layout of obstacles in a channel."," J&#xf8;rgen S. Dokken, August Johansson, Andr&#xe9; Massing, Simon W. Funke",http://arxiv.org/abs/1912.06392
86,Neural Cages for Detail-Preserving 3D Deformations.,"We propose a novel learnable representation for detail-preserving shapedeformation. The goal of our method is to warp a source shape to match thegeneral structure of a target shape, while preserving the surface details ofthe source. Our method extends a traditional cage-based deformation technique,where the source shape is enclosed by a coarse control mesh termed \emph{cage},and translations prescribed on the cage vertices are interpolated to any pointon the source mesh via special weight functions. The use of this sparse cagescaffolding enables preserving surface details regardless of the shape&apos;sintricacy and topology. Our key contribution is a novel neural networkarchitecture for predicting deformations by controlling the cage. Weincorporate a differentiable cage-based deformation module in our architecture,and train our network end-to-end. Our method can be trained with commoncollections of 3D models in an unsupervised fashion, without any cage-specificannotations. We demonstrate the utility of our method for synthesizing shapevariations and deformation transfer."," Wang Yifan, Noam Aigerman, Vladimir Kim, Siddhartha Chaudhuri, Olga Sorkine-Hornung",http://arxiv.org/abs/1912.06395
87,Overlapping Multi-Patch Isogeometric Method with Minimal Stabilization.,"We present a novel method for isogeometric analysis (IGA) to directly work ongeometries constructed by Boolean operations including difference (i.e.,trimming), union and intersection. Particularly, this work focuses on the unionoperation, which involves multiple independent, generally non-conforming andtrimmed spline patches. Given a series of patches, we overlay one on top ofanother in a certain order. While the invisible part of each patch is trimmedaway, the visible parts of all the patches constitute the entire computationaldomain. We employ the Nitsche&apos;s method to weakly couple independent patchesthrough visible interfaces. Moreover, we propose a minimal stabilization methodto address the instability issue that arises on the interfaces shared by smalltrimmed elements. We show in theory that our proposed method recovers stabilityand guarantees well-posedness of the problem as well as optimal errorestimates. In the end, we numerically verify the theory by solving thePoisson&apos;s equation on various geometries that are obtained by the unionoperation."," Pablo Antolin, Annalisa Buffa, Riccardo Puppi, Xiaodong Wei",http://arxiv.org/abs/1912.06400
88,Two-User SIMO Interference Channel with TIN: Improper Signaling versus Time-Sharing.,"In the two-user Gaussian interference channel with Gaussian inputs andtreating interference as noise (TIN), improper complex signals can bebeneficial if time-sharing is not allowed or if only the data rates areaveraged over several transmit strategies (convex hull formulation). On theother hand, proper (circularly symmetric) signals have recently been shown tobe optimal if coded time-sharing is considered, i.e., if both the data ratesand the transmit powers are averaged. In this paper, we show that bothconclusions remain the same if single-input multiple-output (SIMO) systems withmultiple antennas at the receivers are considered. The proof for the case withcoded time-sharing is via a novel enhanced channel concept for the two-userSIMO interference channel, which turns out to deliver a tight outer bound tothe TIN rate region with coded time-sharing. The result for the case withoutcoded time-sharing is demonstrated by studying specific examples in which anewly proposed composite real gradient-projection method for improper signalingcan outperform the globally optimal proper signaling strategy. In addition, wediscuss how the achievable TIN rate region with coded time-sharing can becomputed numerically."," Christoph Hellings, Ferhad Askerbeyli, Wolfgang Utschick",http://arxiv.org/abs/1912.06402
89,Real-time texturing for 6D object instance detection from RGB Images.,"For objected detection, the availability of color cues strongly influencesdetection rates and is even a prerequisite for many methods. However, whentraining on synthetic CAD data, this information is not available. We thereforepresent a method for generating a texture-map from image sequences inreal-time. The method relies on 6 degree-of-freedom poses and a 3D-model beingavailable. In contrast to previous works this allows interleaving detection andtexturing for upgrading the detector on-the-fly. Our evaluation shows that theacquired texture-map significantly improves detection rates using the LINEMODdetector on RGB images only. Additionally, we use the texture-map todifferentiate instances of the same object by surface color."," Pavel Rojtberg, Arjan Kuijper",http://arxiv.org/abs/1912.06404
90,Understanding complex predictive models with Ghost Variables.,"We propose a procedure for assigning a relevance measure to each explanatoryvariable in a complex predictive model. We assume that we have a training setto fit the model and a test set to check the out of sample performance. First,the individual relevance of each variable is computed by comparing thepredictions in the test set, given by the model that includes all the variableswith those of another model in which the variable of interest is substituted byits ghost variable, defined as the prediction of this variable by using therest of explanatory variables. Second, we check the joint effects among thevariables by using the eigenvalues of a relevance matrix that is the covariancematrix of the vectors of individual effects. It is shown that in simple models,as linear or additive models, the proposed measures are related to standardmeasures of significance of the variables and in neural networks models (and inother algorithmic prediction models) the procedure provides information aboutthe joint and individual effects of the variables that is not usually availableby other methods. The procedure is illustrated with simulated examples and theanalysis of a large real data set."," Pedro Delicado, Daniel Pe&#xf1;a",http://arxiv.org/abs/1912.06407
91,Potential adversarial samples for white-box attacks.,"Deep convolutional neural networks can be highly vulnerable to smallperturbations of their inputs, potentially a major issue or limitation onsystem robustness when using deep networks as classifiers. In this paper wepropose a low-cost method to explore marginal sample data near trainedclassifier decision boundaries, thus identifying potential adversarial samples.By finding such adversarial samples it is possible to reduce the search spaceof adversarial attack algorithms while keeping a reasonable successfulperturbation rate. In our developed strategy, the potential adversarial samplesrepresent only 61% of the test data, but in fact cover more than 82% of theadversarial samples produced by iFGSM and 92% of the adversarial samplessuccessfully perturbed by DeepFool on CIFAR10."," Amir Nazemi, Paul Fieguth",http://arxiv.org/abs/1912.06409
92,On Profitability of Nakamoto double spend.,"Nakamoto double spend strategy, described in Bitcoin foundational article,leads to total ruin with positive probability and does not make sense from theprofitability point of view. The simplest strategy that can be profitableincorporates a stopping threshold when success is unlikely. We solve andcompute the exact profitability for this strategy. We compute the minimalamount of the double spend that is profitable. For a given amount of thetransaction, we determine the minimal number of confirmations to be requestedby the recipient such that this double spend strategy is non-profitable. Wefind that this number of confirmations is only 1 or 2 for average transactionsand a small hashrate of the attacker. This is substantially lower than theoriginal Nakamoto numbers that are widely used and are only based on thesuccess probability instead of the profitability."," Cyril Grunspan, Ricardo P&#xe9;rez-Marco",http://arxiv.org/abs/1912.06412
